Tribunal,Ano,Mês,Acórdão,Homologação de Acordo,Decisaão monocrárica,Total,Data Publicação 1,Data Publicação 2
tjms,2009,Novembro,2626,0,0,2626,01-11-2009,30-11-2009
tjms,2009,Dezembro,0,0,0,0,01-12-2009,31-12-2009
tjms,2010,Janeiro,2138,0,0,2138,01-01-2010,31-01-2010
tjms,2010,Fevereiro,2273,0,0,2273,01-02-2010,28-02-2010
tjms,2010,Março,0,0,0,0,01-03-2010,31-03-2010
tjms,2010,Abril,2641,0,0,2641,01-04-2010,30-04-2010
tjms,2010,Maio,3032,0,0,3032,01-05-2010,31-05-2010
tjms,2010,Junho,3029,0,0,3029,01-06-2010,30-06-2010
tjms,2010,Julho,0,0,0,0,01-07-2010,31-07-2010
tjms,2010,Agosto,3089,0,0,3089,01-08-2010,31-08-2010
tjms,2010,Setembro,0,0,0,0,01-09-2010,30-09-2010
tjms,2010,Outubro,2377,0,0,2377,01-10-2010,31-10-2010
tjms,2010,Novembro,0,0,0,0,01-11-2010,30-11-2010
tjms,2010,Dezembro,0,0,0,0,01-12-2010,31-12-2010
tjms,2011,Janeiro,0,0,0,0,01-01-2011,31-01-2011
tjms,2011,Fevereiro,0,0,0,0,01-02-2011,28-02-2011
tjms,2011,Março,0,0,0,0,01-03-2011,31-03-2011
tjms,2011,Abril,0,0,0,0,01-04-2011,30-04-2011
tjms,2011,Maio,0,0,0,0,01-05-2011,31-05-2011
tjms,2011,Junho,0,0,0,0,01-06-2011,30-06-2011
tjms,2011,Julho,0,0,0,0,01-07-2011,31-07-2011
tjms,2011,Agosto,0,0,0,0,01-08-2011,31-08-2011
tjms,2011,Setembro,0,0,0,0,01-09-2011,30-09-2011
tjms,2011,Outubro,1987,0,0,1987,01-10-2011,31-10-2011
tjms,2011,Novembro,0,0,0,0,01-11-2011,30-11-2011
tjms,2011,Dezembro,0,0,0,0,01-12-2011,31-12-2011
tjms,2012,Janeiro,1633,0,0,1633,01-01-2012,31-01-2012
tjms,2012,Fevereiro,0,0,0,0,01-02-2012,29-02-2012
tjms,2012,Março,0,0,0,0,01-03-2012,31-03-2012
tjms,2012,Abril,1965,0,7,1972,01-04-2012,30-04-2012
tjms,2012,Maio,0,0,0,0,01-05-2012,31-05-2012
tjms,2012,Junho,0,0,0,0,01-06-2012,30-06-2012
tjms,2012,Julho,0,0,0,0,01-07-2012,31-07-2012
tjms,2012,Agosto,0,0,0,0,01-08-2012,31-08-2012
tjms,2012,Setembro,0,0,0,0,01-09-2012,30-09-2012
tjms,2012,Outubro,2791,0,2530,5321,01-10-2012,31-10-2012
tjms,2012,Novembro,0,0,0,0,01-11-2012,30-11-2012
tjms,2012,Dezembro,2016,0,1168,3184,01-12-2012,31-12-2012
tjms,2013,Janeiro,0,0,0,0,01-01-2013,31-01-2013
tjms,2013,Fevereiro,2301,0,1745,4046,01-02-2013,28-02-2013
tjms,2013,Março,0,0,0,0,01-03-2013,31-03-2013
tjms,2013,Abril,2556,0,2828,5384,01-04-2013,30-04-2013
tjms,2013,Maio,0,0,0,0,01-05-2013,31-05-2013
tjms,2013,Junho,2108,0,2465,4573,01-06-2013,30-06-2013
tjms,2013,Julho,2826,0,3609,6435,01-07-2013,31-07-2013
tjms,2013,Agosto,0,0,0,0,01-08-2013,31-08-2013
tjms,2013,Setembro,5629,0,2874,8503,01-09-2013,30-09-2013
tjms,2013,Outubro,237,0,3036,3273,01-10-2013,31-10-2013
tjms,2013,Novembro,80,0,3384,3464,01-11-2013,30-11-2013
tjms,2013,Dezembro,0,0,0,0,01-12-2013,31-12-2013
tjms,2014,Janeiro,1410,0,2096,3506,01-01-2014,31-01-2014
tjms,2014,Fevereiro,4044,0,2735,6779,01-02-2014,28-02-2014
tjms,2014,Março,0,0,0,0,01-03-2014,31-03-2014
tjms,2014,Abril,3334,0,2969,6303,01-04-2014,30-04-2014
tjms,2014,Maio,0,0,0,0,01-05-2014,31-05-2014
tjms,2014,Junho,1700,0,2968,4668,01-06-2014,30-06-2014
tjms,2014,Julho,6630,0,4094,10724,01-07-2014,31-07-2014
tjms,2014,Agosto,0,0,0,0,01-08-2014,31-08-2014
tjms,2014,Setembro,0,0,0,0,01-09-2014,30-09-2014
tjms,2014,Outubro,0,0,0,0,01-10-2014,31-10-2014
tjms,2014,Novembro,0,0,0,0,01-11-2014,30-11-2014
tjms,2014,Dezembro,0,0,0,0,01-12-2014,31-12-2014
tjms,2015,Janeiro,0,0,0,0,01-01-2015,31-01-2015
tjms,2015,Fevereiro,0,0,0,0,01-02-2015,28-02-2015
tjms,2015,Março,0,0,0,0,01-03-2015,31-03-2015
tjms,2015,Abril,0,0,0,0,01-04-2015,30-04-2015
tjms,2015,Maio,0,0,0,0,01-05-2015,31-05-2015
tjms,2015,Junho,3909,0,3381,7290,01-06-2015,30-06-2015
tjms,2015,Julho,0,0,0,0,01-07-2015,31-07-2015
tjms,2015,Agosto,3869,0,3265,7134,01-08-2015,31-08-2015
tjms,2015,Setembro,3857,0,3546,7403,01-09-2015,30-09-2015
tjms,2015,Outubro,0,0,0,0,01-10-2015,31-10-2015
tjms,2015,Novembro,0,0,0,0,01-11-2015,30-11-2015
tjms,2015,Dezembro,0,0,0,0,01-12-2015,31-12-2015
